days_per_funding,average_milestone_duration_days,funding_duration_days,Status,amount_milestones,Fundingrounds,Fundingtotal,state,BusinessField,NumContributors,NumPartners
275,744,825,Successful (Acquired),3,3,375000,CA,music,1,3
1778,0,7112,Successful (Acquired),1,4,40100000,CA,enterprise,4,9
0,274,0,Successful (Acquired),2,1,2600000,CA,web,4,5
797,0,2391,Successful (Acquired),1,3,40000000,CA,software,3,5
609,0,1218,Failed,1,2,1300000,CA,games_video,1,2
0,0,0,Failed,1,1,7500000,CA,network_hosting,3,3
1274,1318,3822,Successful (Acquired),2,3,26000000,CA,software,1,6
1867,642,5601,Successful (Acquired),3,3,34100000,CA,finance,3,25
2747,728,8241,Successful (Acquired),4,3,9650000,MA,mobile,4,13
1100,1168,3300,Successful (Acquired),4,3,5750000,CA,web,1,14
1760,189,5280,Successful (Acquired),3,3,27500000,CA,mobile,1,22
1552,1908,7760,Failed,2,5,10400000,CA,web,1,8
0,,0,Failed,,1,350000,KY,web,1,0
882,1308,2646,Successful (Acquired),3,3,9950000,NY,education,2,15
1581,0,7905,Successful (Acquired),1,5,10700000,CO,software,2,12
0,,0,Failed,,1,200000,VA,public_relations,1,0
1525,0,7625,Failed,1,5,49000000,CA,security,3,8
942,4809,3768,Successful (Acquired),3,4,25000000,CA,games_video,3,7
306,627,918,Successful (Acquired),3,3,4575000,NY,web,5,10
120,147,240,Failed,3,2,28000000,CA,enterprise,1,13
574,1974,1148,Successful (Acquired),3,2,4355000,TX,software,1,8
0,0,0,Failed,1,1,15000000,WA,other,1,3
0,0,0,Failed,1,1,3170000,CA,web,2,1
1575,717,3150,Failed,3,2,2300000,CA,mobile,2,4
31,,62,Failed,,2,455000,CO,public_relations,1,5
0,0,0,Successful (Acquired),1,1,13000000,IL,software,4,3
0,0,0,Successful (Acquired),1,1,15000000,CA,public_relations,4,7
0,660,0,Successful (Acquired),3,1,3800000,CA,photo_video,2,2
739,272,3695,Successful (Acquired),2,5,299500000,TX,web,1,37
0,2040,0,Successful (Acquired),3,1,1000000,CA,hardware,2,5
296,0,592,Failed,1,2,10500000,CA,other,2,3
370,0,740,Successful (Acquired),1,2,8600000,WA,public_relations,1,6
798,,1596,Failed,,2,5000000,NC,software,1,9
317,640,634,Successful (Acquired),2,2,2304999,CA,mobile,5,3
0,,0,Failed,,1,25000,PA,security,1,2
0,0,0,Failed,1,1,4000000,NY,software,1,1
356,1215,712,Failed,3,2,14600000,CA,software,2,8
1693,,5079,Failed,,3,44000000,CA,hardware,4,0
906,1512,2718,Successful (Acquired),3,3,1822922,CA,ecommerce,2,10
2155,1205,15085,Successful (Acquired),5,7,29915001,NY,advertising,2,18
1753,1420,7012,Successful (Acquired),5,4,33000000,GA,enterprise,3,26
213,4,426,Successful (Acquired),2,2,125000,NH,mobile,1,9
833,168,1666,Failed,2,2,4000000,CA,travel,1,7
0,978,0,Successful (Acquired),3,1,10000000,WA,enterprise,2,10
0,540,0,Successful (Acquired),4,1,6000000,CA,advertising,3,25
0,,0,Successful (Acquired),,1,25000000,CA,software,5,4
740,696,2220,Successful (Acquired),3,3,3750000,NY,fashion,2,2
0,200,0,Successful (Acquired),2,1,3000000,MA,software,1,9
365,110,730,Successful (Acquired),2,2,1155000,CA,software,9,6
0,960,0,Successful (Acquired),2,1,10000000,CA,software,2,11
0,0,0,Successful (Acquired),1,1,3000000,CA,web,1,5
202,465,404,Successful (Acquired),3,2,11500000,MA,mobile,1,4
0,1560,0,Successful (Acquired),5,1,5000000,TX,web,3,12
594,0,1188,Successful (Acquired),1,2,29000000,MA,public_relations,5,9
2030,1296,12180,Successful (Acquired),4,6,34700000,CA,enterprise,5,37
844,,1688,Failed,,2,12050000,CA,software,1,0
948,1004,2844,Successful (Acquired),2,3,12000000,CA,analytics,2,13
0,0,0,Successful (Acquired),1,1,5500000,CA,consulting,2,18
790,860,2370,Successful (Acquired),4,3,24000000,CA,software,3,10
360,1966,720,Successful (Acquired),2,2,10000000,MO,mobile,4,6
2981,0,8943,Failed,1,3,19009671,MA,biotech,2,10
0,0,0,Failed,1,1,5000000,CA,cleantech,1,6
1919,0,9595,Successful (Acquired),1,5,18914576,WA,enterprise,3,2
0,,0,Failed,,1,4000000,FL,software,1,0
532,534,1596,Successful (Acquired),2,3,2030882,MA,software,3,5
0,2698,0,Successful (Acquired),2,1,5000000,CA,cleantech,1,4
0,,0,Failed,,1,20500000,WA,software,1,5
934,1136,1868,Successful (Acquired),4,2,13250000,CO,advertising,2,4
0,0,0,Successful (Acquired),1,1,12000000,CA,security,2,7
617,116,1851,Successful (Acquired),2,3,11489687,CA,advertising,3,9
0,477,0,Successful (Acquired),3,1,4000000,CA,web,3,15
0,0,0,Successful (Acquired),1,1,355000,CA,software,1,3
90,1059,180,Successful (Acquired),3,2,118000,FL,web,1,10
2799,1128,11196,Successful (Acquired),3,4,40400000,CA,advertising,1,17
0,,0,Failed,,1,3000000,TX,software,1,1
476,0,952,Failed,1,2,19700000,CA,software,4,2
11,,22,Failed,,2,17800000,CA,software,1,0
762,252,2286,Successful (Acquired),3,3,57500000,CA,photo_video,4,12
866,1115,2598,Successful (Acquired),5,3,17200000,NY,games_video,2,10
703,566,4921,Failed,2,7,457282,MA,mobile,1,4
750,309,3000,Successful (Acquired),3,4,18500000,CA,mobile,2,11
0,,0,Failed,,1,12000000,NJ,cleantech,6,2
162,321,324,Failed,3,2,510000000,CO,cleantech,1,5
273,0,546,Successful (Acquired),1,2,18250000,CA,search,2,3
1269,1410,5076,Successful (Acquired),5,4,41500019,NY,music,4,13
0,,0,Failed,,1,1000000,WV,software,3,1
0,612,0,Successful (Acquired),2,1,5000000,CA,web,1,7
1014,0,3042,Failed,1,3,42700000,MI,cleantech,3,2
0,,0,Failed,,1,12000000,CA,ecommerce,9,7
211,2236,422,Successful (Acquired),2,2,22300000,WA,software,4,5
1412,0,2824,Successful (Acquired),1,2,10000000,CA,semiconductor,4,5
1277,,3831,Failed,,3,15564591,DC,advertising,3,1
0,800,0,Successful (Acquired),2,1,500000,CA,web,5,7
447,306,894,Successful (Acquired),2,2,8950000,CA,analytics,7,24
1121,298,4484,Successful (Acquired),2,4,55350000,NY,finance,4,8
0,,0,Failed,,1,4000000,CA,public_relations,3,1
1758,600,8790,Successful (Acquired),3,5,10764323,IL,software,2,3
0,0,0,Failed,1,1,5500000,NJ,software,3,1
0,1132,0,Successful (Acquired),2,1,400000,CA,social,3,7
826,,2478,Failed,,3,54000000,CA,cleantech,2,3
0,,0,Failed,,1,32000000,GA,software,7,2
0,,0,Successful (Acquired),,1,13000000,WA,software,4,1
433,,1299,Successful (Acquired),,3,12500000,WA,software,2,5
2165,2658,8660,Successful (Acquired),2,4,38064570,CA,security,3,16
639,886,1278,Successful (Acquired),2,2,6000000,CA,web,4,21
864,1836,1728,Failed,6,2,5000000,VA,web,1,4
2594,1788,7782,Successful (Acquired),3,3,59000000,VA,software,2,9
0,378,0,Failed,2,1,1000000,IL,web,1,2
0,1968,0,Successful (Acquired),3,1,600000,CA,web,7,5
111,146,222,Failed,2,2,125000000,CT,mobile,2,0
769,1269,1538,Successful (Acquired),3,2,2750000,CA,web,4,11
663,,1326,Successful (Acquired),,2,30000000,CA,network_hosting,2,1
0,,0,Failed,,1,7000000,CA,semiconductor,1,0
0,926,0,Successful (Acquired),2,1,6100000,CA,search,4,10
507,264,1521,Failed,2,3,2100000,CA,enterprise,1,12
130,918,260,Successful (Acquired),3,2,2565000,CA,mobile,3,10
0,,0,Failed,,1,2000000,CA,biotech,1,0
1140,0,3420,Successful (Acquired),1,3,22400000,NC,network_hosting,3,3
0,0,0,Successful (Acquired),1,1,6250000,NY,ecommerce,1,12
0,406,0,Successful (Acquired),2,1,575000,NY,web,6,4
212,0,424,Failed,1,2,53000,MA,web,1,1
