LocalCode:42;Name;state;city;zip_code;latitude;longitude;OfficeAddress;id;FoundingDate;closedDate;acquiredDate;object_id;BusinessField;NumContributors;NumPartners
1005;Bandsintown;CA;San Diego;92101;42.35888;-71.05682;;c:6669;01.01.2007;;04.10.2018;c:6669;music;1;3
204;TriCipher;CA;Los Gatos;95032;37.238916;-121.973718;;c:16283;01.01.2000;;30.04.2019;c:16283;enterprise;4.75;9
1001;Plixi;CA;San Diego;92121;32.901049;-117.192656;San Diego CA 92121;c:65620;18.03.2009;;12.07.2019;c:65620;web;4;5
738;Solidcore Systems;CA;Cupertino;95014;37.320309;-122.05004;Cupertino CA 95014;c:42668;01.01.2002;;07.08.2017;c:42668;software;3.3333;5
1002;Inhale Digital;CA;San Francisco;94105;37.779281;-122.419236;San Francisco CA 94105;c:65806;01.08.2010;03.03.2018;;c:65806;games_video;1;2
379;Matisse Networks;CA;Mountain View;94043;37.406914;-122.09037;Mountain View CA 94043;c:22898;01.01.2002;17.04.2016;;c:22898;network_hosting;3;3
195;RingCube Technologies;CA;Mountain View;94041;37.3915589;-122.0702643;;c:16191;01.01.2005;;04.10.2016;c:16191;software;1.6667;6
875;ClairMail;CA;San Rafael;94901;38.057107;-122.513742;;c:5192;01.01.2004;;10.09.2017;c:5192;finance;3.5;25
16;VoodooVox;MA;Williamstown;1267;42.712207;-73.203599;Williamstown MA 1267;c:1043;01.01.2002;;20.11.2017;c:1043;mobile;4;13
846;Doostang;CA;Palo Alto;94306;37.427235;-122.145783;;c:498;01.06.2005;;17.02.2015;c:498;web;1;14
685;Zong;CA;Menlo Park;94025;37.4429885;-122.1624131;;c:3949;15.11.2000;;31.01.2015;c:3949;mobile;1;22
835;Center'd;CA;Menlo Park;94025;37.452992;-122.185098;;c:4829;01.01.2006;05.07.2018;;c:4829;web;1.75;8
531;Resonant Vibes;KY;Louisville;40204;38.241467;-85.724511;;c:30290;01.01.2004;06.08.2016;;c:30290;web;1;0
137;drop.io;NY;Brooklyn;11201;40.70276;-73.986668;;c:1491;26.11.2007;;28.07.2017;c:1491;education;2.3333;15
162;Stratavia;CO;Denver;80202;39.7462728;-104.9911572;;c:15645;01.01.2001;;01.12.2019;c:15645;software;2.5;12
898;Invicta Networks;VA;Vienna;22182;38.901301;-77.265158;Vienna VA 22182;c:54177;01.01.1999;24.02.2015;;c:54177;public_relations;1;0
235;QSecure;CA;Los Altos;94022;37.3962827;-122.105531;;c:16770;01.01.2003;07.11.2016;;c:16770;security;3.5;8
25;MeeVee;CA;Burlingame;94010;37.590339;-122.341715;;c:107;01.07.2000;;29.09.2016;c:107;games_video;3.5;7
858;SinglePlatform;NY;New York;10004;40.730646;-73.986614;New York NY 10004;c:50727;01.01.2010;;02.09.2015;c:50727;web;5;10
454;Bling Nation;CA;Palo Alto;94301;37.446411;-122.16054;;c:26368;01.01.2007;10.05.2015;;c:26368;enterprise;1;13
369;Metreos Corporation;TX;Austin;78735;30.2350399;-97.8001299;;c:22291;01.01.2001;;28.04.2016;c:22291;software;1.5;8
289;Hidden City Games;WA;Seattle;98122;47.6026054;-122.2848651;;c:17857;01.01.2004;30.12.2017;;c:17857;other;1;3
177;Neopolitan Networks;CA;Palo Alto;94306;37.426316;-122.141082;;c:15888;01.01.2002;11.07.2019;;c:15888;web;2;1
26;Pixelpipe;CA;San Francisco;94103;37.764395;-122.401024;;c:10751;01.01.2008;29.11.2015;;c:10751;mobile;2;4
803;EventVue;CO;Boulder;80302;40.010492;-105.276843;;c:458;01.05.2007;19.02.2015;;c:458;public_relations;1;5
797;BridgePort Networks;IL;Chicago;60601;41.875555;-87.624421;Chicago IL 60601;c:45525;01.01.2002;;15.03.2015;c:45525;software;4;3
572;Scalent Systems;CA;Palo Alto;94303;37.429676;-122.1085482;;c:3193;01.01.2003;;28.04.2018;c:3193;public_relations;4;7
503;IQ Engines;CA;Berkeley;94704;37.870102;-122.268136;Berkeley CA 94704;c:28456;01.06.2008;;30.07.2015;c:28456;photo_video;2;2
642;RetailMeNot, Inc.;TX;Austin;78701;30.2653441;-97.7435857;;c:36920;01.05.2007;;26.05.2018;c:36920;web;1.75;37
625;Mophie;CA;Santa Ana;92705;33.708708;-117.852069;Santa Ana CA 92705;c:35712;24.05.2005;;13.04.2016;c:35712;hardware;2;5
355;Airship Ventures;CA;Moffett Field;94035;37.422859;-122.045217;Moffett Field CA 94035;c:21492;01.01.2007;06.02.2016;;c:21492;other;2;3
510;Lockdown Networks;WA;Seattle;98119;47.603832;-122.330062;Seattle WA 98119;c:28768;01.01.2001;;27.03.2016;c:28768;public_relations;1.5;6
485;eMinor;NC;Durham;27701;36.002893;-78.904075;;c:27741;01.10.2006;29.04.2016;;c:27741;software;1;9
145;Karma;CA;San Francisco;94105;37.779281;-122.419236;San Francisco CA 94105;c:150658;01.01.2011;;26.08.2018;c:150658;mobile;5;3
605;Zipano;PA;Pittsburgh;15219;40.441694;-79.990086;Pittsburgh PA 15219;c:34338;01.06.2009;09.06.2015;;c:34338;security;1;2
785;Entertainment Media Works;NY;New York;10011;40.73901;-73.997259;New York NY 10011;c:45111;01.07.2004;05.11.2016;;c:45111;software;1;1
562;Elastra;CA;San Francisco;94111;37.791137;-122.391843;;c:3178;01.01.2007;28.06.2017;;c:3178;software;2;8
619;RPO;CA;San Jose;95134;37.404788;-121.940842;San Jose CA 95134;c:35402;01.01.2005;18.08.2015;;c:35402;hardware;4.5;0
378;Fotomoto;CA;San Francisco;94107;37.7795014;-122.3948712;;c:22856;01.10.2008;;25.12.2014;c:22856;ecommerce;2.3333;10
63;Peer39;NY;New York;10010;40.755446;-73.980246;;c:1224;01.03.2006;;18.09.2019;c:1224;advertising;2.75;18
