company_id;round_nr;round_date;amount
c:6669;1;01.04.2009;366102
c:6669;2;22.08.2009;7104
c:6669;3;01.01.2010;1794
c:16283;1;14.02.2005;32074728
c:16283;2;29.03.2007;1557779
c:16283;3;20.01.2008;212302
c:16283;4;28.12.2009;6255191
c:65620;1;30.03.2010;2600000
c:42668;1;17.02.2005;29971508
c:42668;2;26.03.2007;4964114
c:42668;3;25.04.2007;5064378
c:65806;1;01.08.2010;185710
c:65806;2;01.04.2012;1114290
c:22898;1;18.07.2006;7500000
c:16191;1;21.09.2006;25385836
c:16191;2;16.05.2007;574128
c:16191;3;18.03.2010;40036
c:5192;1;24.08.2005;12189403
c:5192;2;30.10.2005;10421969
c:5192;3;04.10.2010;11488628
c:1043;1;02.08.2005;1452442
c:1043;2;03.11.2007;60204
c:1043;3;08.02.2013;8137354
c:498;1;01.02.2007;5142471
c:498;2;29.01.2010;444548
c:498;3;05.02.2010;162981
c:3949;1;01.07.2005;23138564
c:3949;2;02.09.2007;1829336
c:3949;3;26.04.2010;2532100
c:4829;1;01.02.2007;1191095
c:4829;2;26.03.2009;2852868
c:4829;3;11.12.2009;1669153
c:4829;4;12.07.2010;2860343
c:4829;5;03.05.2011;1826541
c:30290;1;25.11.2008;350000
c:1491;1;03.12.2007;6390299
c:1491;2;06.09.2008;1119566
c:1491;3;03.05.2010;2440135
c:15645;1;31.08.2005;10331219
c:15645;2;30.11.2005;299570
c:15645;3;03.08.2008;55463
c:15645;4;17.07.2009;10419
c:15645;5;29.12.2009;3329
c:54177;1;09.08.2005;200000
c:16770;1;02.08.2005;12174134
c:16770;2;24.12.2006;24699181
c:16770;3;24.07.2008;2705057
c:16770;4;29.07.2009;2424902
c:16770;5;05.10.2009;6996726
c:107;1;01.02.2005;7127557
c:107;2;24.09.2005;9535617
c:107;3;13.03.2006;8280971
c:107;4;01.09.2007;55855
c:50727;1;29.09.2010;2277843
c:50727;2;02.04.2011;188368
c:50727;3;01.08.2011;2108789
c:26368;1;02.07.2009;18933208
c:26368;2;30.10.2009;9066792
c:22291;1;20.03.2003;2623005
c:22291;2;14.10.2004;1731995
c:17857;1;31.10.2007;15000000
c:15888;1;28.06.2007;3170000
c:10751;1;01.01.2007;1098686
c:10751;2;25.04.2011;1201314
c:458;1;01.08.2007;163312
c:458;2;01.09.2007;291688
c:45525;1;03.11.2006;13000000
c:3193;1;22.01.2007;15000000
c:28456;1;25.06.2012;3800000
c:36920;1;01.11.2009;214294029
c:36920;2;11.07.2010;65282424
c:36920;3;09.08.2010;8123454
c:36920;4;12.09.2011;11268457
c:36920;5;10.11.2011;531636
c:35712;1;01.08.2006;1000000
c:21492;1;09.05.2008;471613
c:21492;2;01.03.2009;10028387
c:28768;1;25.02.2005;5522288
c:28768;2;02.03.2006;3077712
c:27741;1;01.08.2006;4894284
c:27741;2;07.10.2008;105716
c:150658;1;01.01.2011;282218
c:150658;2;14.11.2011;2022781
c:34338;1;01.07.2009;25000
c:45111;1;26.02.2007;4000000
c:3178;1;15.08.2007;11098758
c:3178;2;05.08.2008;3501242
c:35402;1;24.01.2006;39608204
c:35402;2;04.02.2006;389208
c:35402;3;13.09.2010;4002588
c:22856;1;01.12.2008;1619845
c:22856;2;12.05.2009;54070
c:22856;3;26.05.2011;149007
c:1224;1;01.03.2006;11649653
c:1224;2;22.10.2006;834881
c:1224;3;22.04.2007;8215683
