contractId;ticketDate
7795-CFOCW;2022-01-18
7795-CFOCW;2023-08-09
7795-CFOCW;2022-01-25
7892-POOKP;2022-02-17
7892-POOKP;2022-05-28
0280-XJGEX;2023-03-13
0280-XJGEX;2023-03-21
0280-XJGEX;2023-03-10
0280-XJGEX;2023-03-24
9959-WOFKT;2021-05-08
9959-WOFKT;2020-01-19
9959-WOFKT;2022-08-24
9959-WOFKT;2022-09-11
6322-HRPFA;2020-07-19
6322-HRPFA;2021-08-15
6322-HRPFA;2022-10-04
6467-CHFZW;2022-12-29
6467-CHFZW;2023-03-25
6467-CHFZW;2022-12-12
6467-CHFZW;2022-11-16
5380-WJKOV;2023-12-15
5380-WJKOV;2023-04-09
5380-WJKOV;2023-05-24
5380-WJKOV;2023-05-23
8168-UQWWF;2023-05-19
8168-UQWWF;2023-01-29
3714-NTNFO;2023-01-29
3714-NTNFO;2020-03-05
3714-NTNFO;2022-11-12
9420-LOJKX;2023-02-15
1658-BYGOY;2023-03-27
8627-ZYGSZ;2021-03-28
8627-ZYGSZ;2023-08-25
8627-ZYGSZ;2020-07-12
4598-XLKNJ;2022-03-13
3192-NQECA;2023-06-02
3192-NQECA;2023-03-10
3192-NQECA;2023-07-24
3192-NQECA;2023-06-28
3192-NQECA;2023-06-04
3192-NQECA;2023-03-03
0486-HECZI;2023-06-01
0486-HECZI;2023-04-15
0486-HECZI;2023-06-21
0486-HECZI;2023-07-13
0486-HECZI;2023-10-12
5299-RULOA;2022-05-28
9445-ZUEQE;2022-06-04
9445-ZUEQE;2023-11-28
6207-WIOLX;2022-05-18
4648-YPBTM;2020-06-23
3445-HXXGF;2021-07-10
3445-HXXGF;2021-05-31
3445-HXXGF;2021-12-27
3445-HXXGF;2021-11-28
3445-HXXGF;2021-08-22
0691-JVSYA;2023-05-24
0691-JVSYA;2023-05-27
0691-JVSYA;2023-06-20
0691-JVSYA;2023-07-31
0691-JVSYA;2023-06-04
1918-ZBFQJ;2022-04-30
7825-ECJRF;2022-03-27
0699-NDKJM;2020-03-30
8937-RDTHP;2022-12-19
7301-ABVAD;2018-06-05
7576-ASEJU;2023-01-24
7576-ASEJU;2022-08-20
3606-TWKGI;2023-09-14
6323-AYBRX;2023-01-29
6323-AYBRX;2023-09-27
4385-GZQXV;2022-08-30
4484-GLZOU;2022-11-30
4484-GLZOU;2022-09-13
4484-GLZOU;2022-10-31
4484-GLZOU;2022-09-10
4484-GLZOU;2022-10-21
9512-UIBFX;2022-06-24
9512-UIBFX;2022-08-28
8181-YHCMF;2021-01-07
3167-SNQPL;2022-12-09
3167-SNQPL;2021-10-05
2321-OMBXY;2022-05-09
2321-OMBXY;2022-05-04
2321-OMBXY;2022-05-23
2840-XANRC;2023-12-30
2840-XANRC;2023-12-30
5020-ZSTTY;2022-05-15
5020-ZSTTY;2022-03-28
5020-ZSTTY;2022-04-08
5020-ZSTTY;2022-06-23
5020-ZSTTY;2022-03-13
4322-RCYMT;2023-05-06
4322-RCYMT;2023-07-23
4322-RCYMT;2023-03-15
4322-RCYMT;2023-01-26
4322-RCYMT;2023-01-13
4322-RCYMT;2023-01-25
6680-NENYN;2023-07-06
6680-NENYN;2023-05-26
6680-NENYN;2023-11-10
6680-NENYN;2023-11-05
1343-EHPYB;2023-07-22
1343-EHPYB;2023-08-15
1343-EHPYB;2023-07-20
1343-EHPYB;2023-07-24
2034-GDRCN;2022-12-05
8966-SNIZF;2021-11-30
0623-IIHUG;2022-01-15
9601-BRXPO;2023-03-23
9601-BRXPO;2023-04-01
0533-BNWKF;2023-04-25
0533-BNWKF;2023-09-06
0533-BNWKF;2023-07-04
0533-BNWKF;2023-08-08
0979-PHULV;2023-07-13
0979-PHULV;2023-05-11
0979-PHULV;2023-03-31
0979-PHULV;2023-01-14
0979-PHULV;2023-07-01
0979-PHULV;2023-01-02
0979-PHULV;2023-05-27
0578-SKVMF;2022-08-03
0578-SKVMF;2022-06-20
0578-SKVMF;2022-10-19
0578-SKVMF;2022-08-21
2937-FTHUR;2023-06-17
7752-XUSCI;2023-03-11
7752-XUSCI;2023-03-11
7752-XUSCI;2023-03-11
7752-XUSCI;2023-03-11
7752-XUSCI;2023-03-11
7752-XUSCI;2023-03-11
7752-XUSCI;2023-03-11
1480-BKXGA;2020-01-14
1480-BKXGA;2023-09-25
1480-BKXGA;2019-03-15
1480-BKXGA;2018-05-04
1480-BKXGA;2018-06-18
1480-BKXGA;2021-03-28
0447-BEMNG;2023-08-24
0447-BEMNG;2023-08-24
0447-BEMNG;2023-08-24
0447-BEMNG;2023-08-24
0447-BEMNG;2023-08-24
5949-XIKAE;2023-09-03
5949-XIKAE;2023-05-12
3649-JPUGY;2022-02-06
3649-JPUGY;2023-02-07
7783-YKGDV;2023-08-17
5609-CEBID;2022-03-23
5609-CEBID;2022-02-04
5609-CEBID;2022-03-10
7218-HKQFK;2023-11-16
9412-GHEEC;2023-01-21
9412-GHEEC;2023-02-07
9412-GHEEC;2022-12-30
9412-GHEEC;2023-02-15
8397-MVTAZ;2022-07-10
8397-MVTAZ;2022-09-01
8397-MVTAZ;2022-06-15
1403-GYAFU;2021-08-30
1403-GYAFU;2022-07-16
1403-GYAFU;2023-01-06
1403-GYAFU;2020-06-17
1403-GYAFU;2020-03-12
1403-GYAFU;2021-11-07
2817-NTQDO;2022-12-08
2817-NTQDO;2022-11-18
6986-IJDHX;2023-01-16
6986-IJDHX;2023-02-19
6986-IJDHX;2023-03-24
4676-MQUEA;2021-02-28
4676-MQUEA;2021-02-17
4676-MQUEA;2022-10-13
4676-MQUEA;2022-03-31
8138-EALND;2023-06-02
1352-HNSAW;2019-01-01
1352-HNSAW;2021-09-04
1352-HNSAW;2019-05-24
1352-HNSAW;2020-03-13
0939-YAPAF;2021-10-28
0939-YAPAF;2022-05-31
0939-YAPAF;2022-04-18
0939-YAPAF;2022-06-02
4710-FDUIZ;2022-12-13
4710-FDUIZ;2022-11-10
4710-FDUIZ;2022-11-03
4710-FDUIZ;2022-10-09
4710-FDUIZ;2022-12-26
0459-SPZHJ;2019-09-08
0459-SPZHJ;2023-02-06
0719-SYFRB;2023-10-27
3419-SNJJD;2022-04-25
3419-SNJJD;2022-01-24
3419-SNJJD;2021-12-29
3419-SNJJD;2022-04-25
3419-SNJJD;2021-12-07
3419-SNJJD;2022-04-08
4554-YGZIH;2023-11-15
4554-YGZIH;2023-10-31
4554-YGZIH;2023-11-02
5099-BAILX;2022-01-16
5099-BAILX;2022-06-10
5099-BAILX;2022-02-08
5099-BAILX;2022-06-22
7207-RMRDB;2022-05-05
7207-RMRDB;2022-07-08
7207-RMRDB;2022-05-19
7207-RMRDB;2022-09-24
7207-RMRDB;2022-05-07
7207-RMRDB;2022-05-18
7954-MLBUN;2022-05-22
4913-EHYUI;2023-05-10
4913-EHYUI;2023-09-21
4913-EHYUI;2023-09-09
4913-EHYUI;2023-07-04
4913-EHYUI;2023-06-10
0970-ETWGE;2024-01-15
1626-ERCMM;2022-11-27
1626-ERCMM;2022-12-11
0823-HSCDJ;2023-04-07
0823-HSCDJ;2023-03-12
0823-HSCDJ;2023-02-13
0823-HSCDJ;2023-04-25
0823-HSCDJ;2023-03-30
2826-UWHIS;2021-06-23
2826-UWHIS;2023-01-20
9620-QJREV;2023-05-15
9620-QJREV;2021-07-27
9620-QJREV;2020-05-28
9620-QJREV;2021-02-16
7133-VBDCG;2023-04-06
7133-VBDCG;2023-03-25
7596-ZYWBB;2021-04-28
7596-ZYWBB;2020-11-29
6952-OMNWB;2023-09-25
6952-OMNWB;2022-02-23
6952-OMNWB;2019-03-23
5244-IRFIH;2022-09-29
5244-IRFIH;2022-02-16
2684-EIWEO;2022-03-24
2684-EIWEO;2022-05-09
2684-EIWEO;2022-03-11
2521-NPUZR;2023-02-10
2521-NPUZR;2019-07-05
2521-NPUZR;2022-10-25
2521-NPUZR;2018-10-19
6683-VLCTZ;2021-12-10
6683-VLCTZ;2022-02-14
6683-VLCTZ;2022-01-25
2189-WWOEW;2023-03-14
1894-IGFSG;2022-10-31
1894-IGFSG;2022-07-10
1894-IGFSG;2022-02-06
0236-HFWSV;2022-11-27
2037-XJFUP;2023-12-17
2037-XJFUP;2023-08-14
2037-XJFUP;2023-06-21
2037-XJFUP;2023-10-24
0285-INHLN;2022-11-02
0691-IFBQW;2022-10-14
0691-IFBQW;2023-01-05
0691-IFBQW;2022-12-25
0691-IFBQW;2022-09-19
3009-JWMPU;2022-07-25
3009-JWMPU;2022-08-26
3009-JWMPU;2022-07-21
3009-JWMPU;2022-07-19
3009-JWMPU;2022-08-13
3009-JWMPU;2022-07-19
1450-GALXR;2022-11-30
1450-GALXR;2023-01-18
4289-DTDKW;2022-10-14
4289-DTDKW;2022-07-21
4289-DTDKW;2022-10-28
4289-DTDKW;2022-08-12
4289-DTDKW;2022-07-29
2239-JALAW;2023-09-10
2239-JALAW;2023-06-15
2239-JALAW;2023-06-20
2239-JALAW;2023-12-16
4853-RULSV;2021-09-26
4853-RULSV;2021-07-10
4853-RULSV;2022-01-12
4853-RULSV;2021-08-09
4853-RULSV;2021-08-05
4853-RULSV;2021-07-24
4853-RULSV;2022-03-03
0115-TFERT;2022-07-21
0115-TFERT;2022-11-20
2311-QYMUQ;2022-06-15
3104-OWCGK;2022-03-21
3104-OWCGK;2022-03-21
3104-OWCGK;2022-03-21
3104-OWCGK;2022-03-21
3104-OWCGK;2022-03-21
3104-OWCGK;2022-03-21
9101-BWFSS;2023-07-03
9101-BWFSS;2023-06-23
9101-BWFSS;2023-06-11
9101-BWFSS;2023-06-24
9101-BWFSS;2023-07-14
4250-WAROZ;2023-04-29
4250-WAROZ;2023-08-13
4250-WAROZ;2024-01-27
0727-BMPLR;2023-06-17
0727-BMPLR;2023-11-20
0727-BMPLR;2023-09-30
0727-BMPLR;2023-10-25
0727-BMPLR;2023-07-21
3027-ZTDHO;2022-07-27
3027-ZTDHO;2022-07-15
2382-BCKQJ;2022-02-17
2382-BCKQJ;2022-01-28
2382-BCKQJ;2022-02-27
2382-BCKQJ;2022-01-26
2382-BCKQJ;2022-01-22
4124-MMETB;2022-11-27
4124-MMETB;2023-03-20
4124-MMETB;2022-10-01
1937-OTUKY;2022-09-27
1937-OTUKY;2022-07-02
1937-OTUKY;2021-08-17
1937-OTUKY;2023-06-02
1937-OTUKY;2020-06-16
1937-OTUKY;2020-08-26
1764-VUUMT;2021-02-14
1764-VUUMT;2022-02-11
1764-VUUMT;2023-01-09
1764-VUUMT;2020-10-06
1764-VUUMT;2022-07-22
1764-VUUMT;2023-05-08
5073-WXOYN;2024-02-26
5073-WXOYN;2024-02-26
5073-WXOYN;2024-02-26
5073-WXOYN;2024-02-26
5073-WXOYN;2024-02-26
5073-WXOYN;2024-02-26
7549-MYGPK;2023-11-15
7549-MYGPK;2023-10-06
7549-MYGPK;2023-11-25
7549-MYGPK;2023-10-04
7549-MYGPK;2023-11-27
7549-MYGPK;2023-11-06
3804-RVTGV;2024-01-27
3804-RVTGV;2024-01-29
3804-RVTGV;2023-12-30
3804-RVTGV;2024-01-23
3804-RVTGV;2024-01-25
7997-EASSD;2019-02-17
7997-EASSD;2023-03-07
4315-MURBD;2023-07-17
4315-MURBD;2023-07-17
2719-BDAQO;2022-03-13
9625-QSTYE;2022-04-29
7028-DVOIQ;2023-10-30
9889-TMAHG;2022-04-25
3158-MOERK;2022-05-10
2834-JRTUA;2022-10-25
2834-JRTUA;2022-05-31
2834-JRTUA;2022-05-19
2834-JRTUA;2023-02-01
2834-JRTUA;2022-06-04
2834-JRTUA;2022-07-26
2834-JRTUA;2023-03-02
2834-JRTUA;2022-11-29
6646-QVXLR;2022-12-10
6646-QVXLR;2022-12-12
6646-QVXLR;2022-11-25
6646-QVXLR;2022-12-07
6646-QVXLR;2022-12-16
6646-QVXLR;2022-11-04
1374-DMZUI;2022-06-08
1374-DMZUI;2022-05-07
8818-XYFCQ;2022-11-25
8818-XYFCQ;2022-09-16
8818-XYFCQ;2022-11-02
4695-VADHF;2022-02-12
4695-VADHF;2022-02-25
9391-TTOYH;2023-09-22
9391-TTOYH;2023-07-01
3422-WJOYD;2022-01-07
3422-WJOYD;2023-06-27
9948-YPTDG;2022-12-02
9948-YPTDG;2022-12-09
9948-YPTDG;2022-12-16
9948-YPTDG;2022-12-28
1236-WFCDV;2023-01-18
1271-SJBGZ;2022-09-24
7013-PSXHK;2023-10-18
5981-ITEMU;2022-08-19
5981-ITEMU;2022-09-21
5981-ITEMU;2022-08-13
5981-ITEMU;2022-09-10
1624-WOIWJ;2022-09-11
0634-SZPQA;2022-04-11
0634-SZPQA;2022-02-24
5536-RTPWK;2022-06-26
5536-RTPWK;2022-06-26
5536-RTPWK;2022-07-15
5536-RTPWK;2022-06-25
0655-RBDUG;2022-08-05
0655-RBDUG;2022-12-18
