company_id;milestone_nr;milestone_date
c:6669;1;01.09.2011
c:6669;2;01.09.2011
c:6669;3;13.09.2013
c:16283;1;01.01.2007
c:65620;1;01.09.2010
c:65620;2;01.06.2011
c:42668;1;01.01.2008
c:65806;1;15.08.2010
c:22898;1;01.01.2007
c:16191;1;01.01.2008
c:16191;2;10.08.2011
c:5192;1;08.08.2009
c:5192;2;16.07.2010
c:5192;3;11.05.2011
c:1043;1;01.01.2010
c:1043;2;23.01.2010
c:1043;3;21.03.2010
c:1043;4;28.12.2011
c:498;1;01.05.2008
c:498;2;13.06.2008
c:498;3;01.12.2009
c:498;4;12.07.2011
c:3949;1;01.01.2011
c:3949;2;02.07.2011
c:3949;3;08.07.2011
c:4829;1;21.05.2005
c:4829;2;10.08.2010
c:1491;1;11.09.2008
c:1491;2;15.12.2008
c:1491;3;11.04.2012
c:15645;1;01.11.2009
c:16770;1;01.07.2008
c:107;1;01.01.2000
c:107;2;07.12.2001
c:107;3;03.03.2013
c:50727;1;15.04.2011
c:50727;2;23.11.2011
c:50727;3;01.01.2013
c:26368;1;01.02.2010
c:26368;2;21.02.2010
c:26368;3;29.06.2010
c:22291;1;01.02.2005
c:22291;2;19.10.2009
c:22291;3;30.06.2010
c:17857;1;01.10.2007
c:15888;1;01.01.2002
c:10751;1;11.09.2011
c:10751;2;05.01.2012
c:10751;3;29.08.2013
c:45525;1;01.01.2003
c:3193;1;01.01.2006
c:28456;1;01.11.2011
c:28456;2;26.02.2013
c:28456;3;23.08.2013
c:36920;1;04.04.2012
c:36920;2;01.01.2013
c:35712;1;01.08.2007
c:35712;2;14.06.2012
c:35712;3;01.03.2013
c:21492;1;08.07.2011
c:28768;1;01.01.2004
c:150658;1;01.06.2011
c:150658;2;02.03.2013
c:45111;1;01.07.2004
c:3178;1;01.01.2008
c:3178;2;06.09.2008
c:3178;3;01.05.2011
c:22856;1;11.05.2009
c:22856;2;20.08.2012
c:22856;3;01.07.2013
c:1224;1;01.01.2010
c:1224;2;04.05.2011
c:1224;3;21.05.2011
c:1224;4;04.11.2011
c:1224;5;18.04.2013
c:1234;1;18.01.2010
c:1234;2;18.01.2010
c:1234;3;27.10.2010
c:1234;4;13.01.2012
c:1234;5;10.12.2013
c:149809;1;01.03.2012
c:149809;2;05.03.2012
c:13733;1;01.05.2010
c:13733;2;16.10.2010
c:39106;1;06.01.2010
c:39106;2;12.02.2012
c:39106;3;11.09.2012
c:5306;1;27.09.2010
c:5306;2;08.01.2011
c:5306;3;09.01.2011
c:5306;4;21.03.2012
c:43188;1;01.10.2010
c:43188;2;08.08.2011
c:43188;3;28.08.2012
c:33507;1;29.11.2010
c:33507;2;16.06.2011
c:68157;1;01.10.2011
c:68157;2;19.01.2012
c:2395;1;01.01.2008
c:2395;2;17.08.2010
c:38220;1;01.01.2008
c:49815;1;01.01.2011
c:49815;2;14.07.2011
c:49815;3;11.04.2012
c:249;1;18.11.2008
c:249;2;01.04.2009
c:249;3;14.11.2009
c:249;4;14.02.2013
c:249;5;25.02.2013
c:22027;1;01.05.2007
c:109;1;18.05.2010
c:109;2;30.04.2011
c:109;3;05.02.2012
c:109;4;03.12.2013
c:765;1;01.01.2010
c:765;2;01.10.2012
c:19257;1;01.01.2007
c:25827;1;24.05.2010
c:25827;2;22.07.2010
c:25827;3;30.07.2012
c:25827;4;01.10.2012
c:5932;1;01.01.2008
c:5932;2;20.05.2013
c:35157;1;01.01.1998
c:8596;1;01.01.2008
c:19861;1;01.01.2007
c:23533;1;04.08.2010
c:23533;2;19.01.2012
c:25325;1;01.01.2006
c:25325;2;22.05.2013
c:10392;1;31.08.2010
c:10392;2;08.12.2010
c:10392;3;12.04.2011
c:10392;4;09.10.2013
c:26128;1;01.01.2007
c:2808;1;08.09.2008
c:2808;2;01.01.2009
c:10581;1;01.12.2010
c:10581;2;12.08.2011
c:10581;3;23.03.2012
c:190214;1;01.08.2012
c:1674;1;01.06.2008
c:1674;2;29.01.2011
c:1674;3;25.04.2011
c:170;1;18.05.2010
c:170;2;05.06.2012
c:170;3;20.06.2013
c:46186;1;01.01.2004
c:43233;1;02.04.2013
c:43233;2;16.05.2013
c:43233;3;11.12.2013
c:1498;1;01.01.2008
c:1498;2;20.03.2008
c:1498;3;22.10.2009
c:1498;4;27.01.2010
c:1498;5;20.01.2011
c:31514;1;01.08.2008
c:31514;2;17.02.2010
c:58944;1;01.01.2013
c:58944;2;05.04.2013
c:58944;3;07.11.2013
c:51023;1;14.12.2010
c:51023;2;14.04.2011
c:51023;3;01.11.2011
c:13168;1;01.01.2006
c:649;1;01.07.2008
c:649;2;23.06.2009
c:649;3;17.05.2010
c:649;4;06.11.2011
c:649;5;10.05.2012
c:3080;1;01.04.2007
c:3080;2;03.12.2008
c:28424;1;01.06.2001
c:30537;1;01.01.2006
c:30537;2;14.02.2012
c:14656;1;01.03.2002
c:16938;1;24.06.2009
c:16938;2;01.09.2011
c:83265;1;20.10.2012
c:83265;2;22.08.2013
c:23136;1;01.01.2010
c:23136;2;26.10.2010
c:17219;1;14.04.2009
c:17219;2;03.07.2009
c:17219;3;06.12.2010
c:23234;1;01.01.2007
c:70586;1;01.06.2010
c:70586;2;06.07.2013
c:38338;1;01.01.2005
c:38338;2;12.04.2012
c:4622;1;01.09.2009
c:4622;2;04.02.2012
c:202;1;01.01.2007
c:202;2;17.02.2008
c:202;3;31.01.2009
