Funding_per_contributor,Funding_per_milestone,Status_numeric,average_milestone_duration,average_milestone_duration_days,milestone_days_duration,first_milestone_date,funding_duration_days,last_funding_date,first_funding_date,Is Duplicate Row?,Status,years_from_first_to_last_milestone,last_milestone_date,amount_milestones,Funding_total_size,Fundingrounds,Fundingtotal,LocalCode:42,Name,state,city,zip_code_no_null,latitude,longitude,OfficeAddress_no_null,FoundingDate,closedDate,acquiredDate,BusinessField,NumContributors,NumPartners,company_id_corrected
8700000,0,0,,,,,0,03.06.2005,03.06.2005,Unique,Failed,,,,Medium (2M+),1,8700000,940,Klir Technologies,WA,Seattle,98102,"47,603832","-122,330062",Seattle WA 98102,01.01.2000,21.06.2019,,network_hosting,1,0,58560
650000,1300000,1,2,274,2,01.09.2010,0,30.03.2010,30.03.2010,Unique,Successful (Acquired),1,01.06.2011,2,Medium (2M+),1,2600000,1001,Plixi,CA,San Diego,92121,"32,901049","-117,192656",San Diego CA 92121,18.03.2009,,12.07.2019,web,4,5,65620
3268750,6537500,1,2,906,2,25.10.2010,8960,09.04.2012,20.02.2006,Unique,Successful (Acquired),3,18.04.2013,2,Medium-High (10M+),4,13075000,515,Vizu Corporation,CA,San Francisco,94017,"37,797435","-122,403175",Unknown,14.02.2005,,29.12.2018,advertising,4,10,2925
333333,0,0,,,,,0,09.06.2005,09.06.2005,Unique,Failed,,,,Small Investment (<2M),1,1000000,883,Plethora Technology,WV,Kearneysville,25430,"39,388156","-77,885552",Kearneysville WV 25430,01.01.2000,17.12.2015,,software,3,1,52694
60000,0,0,,,,,0,01.01.2008,01.01.2008,Unique,Failed,,,,Small Investment (<2M),1,120000,1147,OfferLounge,CA,Morgan Hill,95037,"26,0524615","-80,1378809",Unknown,01.01.2008,29.11.2018,,public_relations,2,3,9730
15000000,0,1,,,,,1326,25.09.2007,01.12.2005,Unique,Successful (Acquired),,,,Medium-High (10M+),2,30000000,274,Woven Systems,CA,Santa Clara,95054,"37,3821368","-121,970505",Unknown,01.01.2003,,27.08.2015,network_hosting,2,1,17620
333333,1000000,1,1,0,1,01.05.2011,20,11.02.2011,01.02.2011,Unique,Successful (Acquired),0,01.05.2011,1,Small Investment (<2M),2,1000000,134,LiftDNA,NY,New York,10016,"40,74929","-73,981328",New York NY 10016,01.09.2009,,05.07.2018,advertising,3,5,148576
11716666,35150000,1,1,0,1,01.01.2011,5523,16.05.2007,01.05.2002,Unique,Successful (Acquired),0,01.01.2011,1,Medium-High (10M+),3,35150000,205,ID Analytics,CA,San Diego,92128,"32,7154","-117,1565",Unknown,01.01.2002,,06.01.2017,web,3,9,16285
21000000,10500000,1,4,1128,4,06.07.2010,6912,24.12.2009,01.04.2005,Unique,Successful (Acquired),3,07.08.2013,4,Medium-High (10M+),4,42000000,270,Jobfox,VA,McLean,22102,"38,92719","-77,216969",Unknown,01.03.2004,,09.01.2019,web,2,14,1756
300000,600000,0,2,104,2,01.07.2009,0,13.10.2009,13.10.2009,Unique,Failed,0,13.10.2009,2,Small Investment (<2M),1,1200000,598,Transactiv,OH,Cincinnati,45202,"39,099909","-84,504243",Cincinnati OH 45202,01.07.2009,15.07.2018,,advertising,4,2,33912
35700000,23800000,1,3,1188,3,01.04.2010,4340,06.02.2013,17.02.2010,Unique,Successful (Acquired),3,02.07.2013,3,High (50M+),4,71400000,730,ecoATM,CA,San Diego,92121,"32,901049","-117,192656",San Diego CA 92121,02.08.2008,,30.04.2015,cleantech,2,6,42223
200000,500000,1,2,190,2,01.04.2013,0,01.09.2012,01.09.2012,Unique,Successful (Acquired),0,07.10.2013,2,Small Investment (<2M),1,1000000,346,Republic Project,CA,Santa Monica,90291,"33,6156634","-111,8931647",Unknown,01.08.2008,,07.05.2017,advertising,5,13,20672
8700000,5800000,1,3,1371,3,01.02.2008,1314,12.06.2008,01.04.2007,Unique,Successful (Acquired),3,04.11.2011,3,Medium-High (10M+),3,17400000,1057,WooMe,CA,San Francisco,92606,"37,779281","-122,419236",San Francisco CA 92606,01.12.2000,,25.09.2016,web,2,8,763
1350000,1350000,1,2,592,2,01.01.2010,0,19.03.2010,19.03.2010,Unique,Successful (Acquired),1,15.08.2011,2,Medium (2M+),1,2700000,879,Panvidea,NY,New York,10001,"40,750519","-73,993494",New York NY 10001,01.01.2007,,20.06.2015,games_video,2,5,52378
3366666,10100000,1,1,0,1,01.08.2009,1214,10.02.2009,14.06.2007,Unique,Successful (Acquired),0,01.08.2009,1,Medium-High (10M+),2,10100000,283,M-Factor,CA,San Mateo,94404,"37,555962","-122,288006",Unknown,01.01.2003,,02.09.2019,software,3,3,17738
2000000,2000000,1,2,444,2,01.07.2012,1899,25.03.2013,01.07.2011,Unique,Successful (Acquired),1,18.09.2013,2,Medium (2M+),3,4000000,2,SideTour,NY,New York,10001,"40,745064","-73,992637",Unknown,01.06.2011,,20.02.2018,web,2,7,101312
53000,53000,0,1,0,1,01.08.2009,424,01.03.2010,01.08.2009,Unique,Failed,0,01.08.2009,1,Small Investment (<2M),2,53000,841,Loudcaster,MA,Somerville,2143,"42,387597","-71,099497",Somerville MA 2143,01.08.2009,28.05.2018,,web,1,1,49236
1550000,775000,1,4,1620,4,01.01.2007,910,01.04.2007,01.01.2006,Unique,Successful (Acquired),4,09.06.2011,4,Medium (2M+),2,3100000,1134,CastTV,CA,San Francisco,94107,"37,780716","-122,393913",Unknown,01.01.2006,,20.04.2018,games_video,2,4,93
700000,350000,0,2,178,2,01.08.2010,532,15.12.2010,24.03.2010,Unique,Failed,1,26.01.2011,2,Small Investment (<2M),2,700000,781,Yamisee,CT,Westport,6880,"39,364504","-84,247556",Westport CT 6880,01.01.2010,28.04.2016,,web,1,2,44616
375000,125000,1,3,744,3,01.09.2011,825,01.01.2010,01.04.2009,Unique,Successful (Acquired),2,13.09.2013,3,Small Investment (<2M),3,375000,1005,Bandsintown,CA,San Diego,92101,"42,35888","-71,05682",Unknown,01.01.2007,,04.10.2018,music,1,3,6669
4500000,900000,0,5,1525,5,01.04.2007,552,01.02.2008,01.05.2007,Unique,Failed,4,06.06.2011,5,Medium (2M+),2,4500000,793,DanceJam,CA,San Francisco,94103,"37,781557","-122,407959",Unknown,01.04.2007,05.11.2015,,games_video,1,4,454
5000000,5000000,0,1,0,1,01.01.2010,0,20.02.2008,20.02.2008,Unique,Failed,0,01.01.2010,1,Medium (2M+),1,5000000,261,Speedshape,MI,Bingham Farms,48025,"42,548008","-83,214753",Unknown,01.01.2003,01.07.2015,,advertising,1,2,17429
375000,250000,1,3,1581,3,01.05.2006,0,01.06.2007,01.06.2007,Unique,Successful (Acquired),4,30.08.2010,3,Small Investment (<2M),1,750000,184,Summize,VA,Potomac Falls,20165,"39,050108","-77,40082",Potomac Falls VA 20165,01.11.2006,,08.10.2015,search,2,5,1607
