founding_year,Calculation1,amount_milestones_corrected,age_last_funding,age_first_funding,is_first_funding_the_biggest_funding,First_funding_amount,biggest_funding_amount_share_of_total_funding_%,biggest_funding_amount,Funding_rounds,days_from_first_to_last_milestone,average_days_per_milestone,Funding_total,funding_duration_days,days_per_funding,average_funding_size,Is_Successful,state,FoundingDate,BusinessField,NumContributors,NumPartners
2007,1,2,577,577,1,3000000,100,3000000,1,103,51,3000000,0,0,3000000,0,TX,01.07.2007,enterprise,1,14
2002,0,1,1767,1767,1,13000000,100,13000000,1,0,0,13000000,0,0,13000000,1,IL,01.01.2002,software,4,3
2004,0,1,2021,1524,1,7669965,95,7669965,2,0,0,8000000,497,248,4000000,1,CA,01.01.2004,games_video,1,0
2001,1,1,2286,2286,1,10000000,100,10000000,1,0,0,10000000,0,0,10000000,1,CO,01.01.2001,software,1,2
2006,0,1,1298,730,1,1644744,78,1644744,2,0,0,2100000,568,284,1050000,0,PA,01.01.2006,mobile,2,3
2001,1,1,1880,1880,1,6480000,100,6480000,1,0,0,6480000,0,0,6480000,1,CA,01.01.2001,public_relations,3,6
2002,0,3,2588,273,0,2789311,81,12310689,2,682,227,15100000,2315,1157,7550000,1,NY,01.01.2002,advertising,1,5
2008,1,2,1564,1564,1,400000,100,400000,1,1131,565,400000,0,0,400000,1,CA,01.01.2008,social,3,7
2001,1,1,1886,1516,1,5522288,64,5522288,2,0,0,8600000,370,185,4300000,1,WA,01.01.2001,public_relations,1,6
2001,1,1,3269,1732,0,1451769,49,7516822,3,0,0,15247925,1537,512,5082641,1,MA,01.01.2001,semiconductor,1,10
2010,0,1,365,90,1,149596,80,149596,5,0,0,185000,275,55,37000,0,CA,01.01.2010,mobile,2,3
2008,1,2,1415,1415,1,15000000,100,15000000,1,1033,516,15000000,0,0,15000000,1,CA,01.01.2008,enterprise,1,9
2000,0,1,3981,3981,1,275000,100,275000,1,0,0,275000,0,0,275000,0,NJ,01.01.2000,software,1,5
2005,0,4,1200,789,1,30123254,91,30123254,2,1530,382,33000000,411,205,16500000,0,CA,01.01.2005,search,1,13
2003,0,1,3425,754,1,34574758,88,34574758,5,0,0,39000000,2671,534,7800000,1,MA,01.01.2003,software,3,13
2006,0,2,2543,0,1,46053769,62,46053769,5,340,170,74000000,2543,508,14800000,1,CA,01.08.2006,network_hosting,1,19
2007,1,2,1813,181,1,25439830,87,25439830,4,1282,641,29050000,1632,408,7262500,1,MA,01.01.2007,software,2,10
2006,0,6,1094,486,0,971520,42,1495568,3,1387,231,3500000,608,202,1166666,1,MA,03.05.2006,ecommerce,1,8
2008,1,2,1024,1024,1,3000000,100,3000000,1,601,300,3000000,0,0,3000000,1,CA,01.01.2008,games_video,1,6
